Timestamp,Source,Name,Value,Instance
04:43.2,128,Deviation,,
04:43.2,127,Speed Over Ground,0,
04:43.2,17,Speed Over Ground,0,
04:43.2,127,Fluid Level,87.3,
04:43.2,127,Fuel Rate,0.1199,
04:43.2,127,Fuel Rate,0.1271,
04:43.2,2A,Battery Voltage,15.5,16
04:43.2,5A,Tank Capacity,323793.7153,
04:43.2,5A,Fluid Type,3,3
04:43.2,A9,Transmission oil temperature,349.8,0
04:43.2,A9,Transmission oil pressure,134500,0
04:43.2,A9,Transmission Gear,3,0
04:43.2,A9,Engine tilt/trim,100,0
04:43.2,A5,Fuel Pressure,664000,
04:43.2,A5,Engine coolant pressure,218000,1
04:43.2,A5,Engine temp.,353.15,1
04:43.2,A5,Engine oil temp.,360.2,1
04:43.2,A5,Engine oil pressure,452000,1
04:43.2,A1,Engine Speed,1500,3
04:43.2,A1,Engine Boost Pressure,6000,3
04:43.3,127,Latitude,59° 25.170066' N,
04:43.3,127,Longitude,05° 17.683656' E,
04:43.3,128,Heading,0.011,
04:43.3,114,Heading,3.4015,
04:43.3,128,Deviation,,
04:43.3,114,Deviation,0,
04:43.3,127,Speed Over Ground,0,
04:43.3,127,Fluid Level,87.3,
04:43.3,127,Fuel Rate,0.12,
04:43.3,2A,Battery Voltage,15.7,17
04:43.3,A9,Transmission oil temperature,349.8,0
04:43.3,A9,Transmission oil pressure,134500,0
04:43.3,A9,Transmission Gear,3,0
04:43.3,A9,Engine tilt/trim,100,0
04:43.3,A3,Fuel Pressure,648000,
04:43.3,A3,Engine coolant pressure,236000,2
04:43.3,A3,Engine temp.,349.15,2
04:43.3,A3,Engine oil temp.,359.2,2
04:43.3,A3,Engine oil pressure,468000,2
04:43.3,A5,Engine Speed,1764,1
04:43.3,A5,Engine Boost Pressure,212000,1
04:43.7,127,Latitude,59° 25.170066' N,
04:43.7,127,Longitude,05° 17.683656' E,
04:43.7,17,Course Over Ground,0,
04:43.7,128,Heading,0.011,
04:43.7,114,Heading,3.4015,
04:43.7,128,Heading,0.0111,
04:43.7,128,Heading,0.0112,
04:43.7,128,Heading,0.0113,
04:43.7,128,Deviation,,
04:43.7,114,Deviation,0,
04:43.7,127,Speed Over Ground,0,
04:43.7,17,Speed Over Ground,0,
04:43.7,14,Water Depth,,
04:43.7,12,Water Depth,,
04:43.7,127,Fluid Level,87.3,
04:43.7,127,Fuel Rate,0.127,
04:43.7,127,Fuel Rate,0.1205,
04:43.7,127,Fuel Rate,0.1271,
04:43.7,127,Fuel Rate,0.1202,
04:43.7,B2,Battery Voltage,27.52,8
04:43.7,A9,Transmission oil temperature,349.8,0
04:43.7,A9,Transmission oil pressure,134500,0
04:43.7,A9,Transmission Gear,3,0
04:43.7,A9,Engine tilt/trim,100,0
04:43.7,A5,Fuel Pressure,664000,
04:43.7,A5,Engine coolant pressure,218000,1
04:43.7,A5,Engine temp.,353.15,1
04:43.7,A5,Engine oil temp.,360.2,1
04:43.7,A5,Engine oil pressure,452000,1
04:43.7,A4,Engine Speed,1500,4
04:43.7,A4,Engine Boost Pressure,54000,4
04:43.7,11,Water Depth,,
04:43.8,127,Latitude,59° 25.170066' N,
04:43.8,127,Longitude,05° 17.683656' E,
04:43.8,17,Course Over Ground,0,
04:43.8,128,Heading,0.0109,
04:43.8,114,Heading,3.4015,
04:43.8,128,Deviation,,
04:43.8,114,Deviation,0,
04:43.8,127,Speed Over Ground,0,
04:43.8,17,Speed Over Ground,0,
04:43.8,127,Fluid Level,87.3,
04:43.8,127,Fuel Rate,0.0038,
04:43.8,B0,Battery Voltage,28.09,6
04:43.8,A9,Transmission oil temperature,349.8,0
04:43.8,A9,Transmission oil pressure,134500,0
04:43.8,A9,Transmission Gear,3,0
04:43.8,A9,Engine tilt/trim,100,0
04:43.8,A3,Fuel Pressure,648000,
04:43.8,A3,Engine coolant pressure,236000,2
04:43.8,A3,Engine temp.,349.15,2
04:43.8,A3,Engine oil temp.,359.2,2
04:43.8,A3,Engine oil pressure,468000,2
04:43.8,A3,Engine Speed,1913,2
04:43.8,A3,Engine Boost Pressure,196000,2
04:44.0,127,Latitude,59° 25.170066' N,
04:44.0,127,Longitude,05° 17.683656' E,
04:44.0,128,Heading,0.011,
04:44.0,114,Heading,3.4015,
04:44.0,128,Heading,0.0112,
04:44.0,128,Deviation,,
04:44.0,114,Deviation,0,
04:44.0,127,Speed Over Ground,0,
04:44.0,13,Water Depth,,
04:44.0,127,Fluid Level,87.3,
04:44.0,127,Fuel Rate,0.1273,
04:44.0,127,Fuel Rate,0.0185,
04:44.0,B5,Battery Voltage,28.55,1
04:44.0,A9,Transmission oil temperature,349.8,0
04:44.0,A9,Transmission oil pressure,134400,0
04:44.0,A9,Transmission Gear,3,0
04:44.0,A9,Engine tilt/trim,100,0
04:44.0,A5,Fuel Pressure,664000,
04:44.0,A5,Engine coolant pressure,218000,1
04:44.0,A5,Engine temp.,353.15,1
04:44.0,A5,Engine oil temp.,360.2,1
04:44.0,A5,Engine oil pressure,452000,1
04:44.0,A1,Engine Speed,1501,3
04:44.0,A1,Engine Boost Pressure,6000,3
04:44.2,127,Latitude,59° 25.170066' N,
04:44.2,127,Longitude,05° 17.683656' E,
04:44.2,17,Course Over Ground,0,
04:44.2,128,Heading,0.0112,
04:44.2,114,Heading,3.4015,
04:44.2,128,Deviation,,
04:44.2,114,Deviation,0,
04:44.2,17,Speed Over Ground,0,
04:44.2,127,Speed Over Ground,0,
04:44.2,127,Fluid Level,87.3,
04:44.2,127,Fuel Rate,0.1202,
04:44.2,127,Fuel Rate,0.1271,
04:44.2,B4,Battery Voltage,26.36,2
04:44.2,A9,Transmission oil temperature,349.8,0
04:44.2,A9,Transmission oil pressure,134400,0
04:44.2,A9,Transmission Gear,3,0
04:44.2,A9,Engine tilt/trim,100,0
04:44.2,A3,Fuel Pressure,648000,
04:44.2,A3,Engine coolant pressure,236000,2
04:44.2,A3,Engine temp.,349.15,2
04:44.2,A3,Engine oil temp.,359.2,2
04:44.2,A3,Engine oil pressure,468000,2
04:44.2,A5,Engine Speed,1761,1
04:44.2,A5,Engine Boost Pressure,212000,1
04:44.4,127,Latitude,59° 25.170066' N,
04:44.4,127,Longitude,05° 17.683656' E,
04:44.4,17,Course Over Ground,0,
04:44.4,128,Heading,0.0113,
04:44.4,114,Heading,3.4015,
04:44.4,128,Heading,0.0111,
04:44.4,128,Deviation,,
04:44.4,114,Deviation,0,
04:44.4,127,Speed Over Ground,0,
04:44.4,17,Speed Over Ground,0,
04:44.4,14,Water Depth,,
04:44.4,127,Fluid Level,87.3,
04:44.4,127,Fuel Rate,0.127,
04:44.4,127,Fuel Rate,0.1218,
04:44.4,B1,Battery Voltage,27.29,7
04:44.4,A9,Transmission oil temperature,349.8,0
04:44.4,A9,Transmission oil pressure,134400,0
04:44.4,A9,Transmission Gear,3,0
04:44.4,A9,Engine tilt/trim,100,0
04:44.4,A5,Fuel Pressure,664000,
04:44.4,A5,Engine coolant pressure,218000,1
04:44.4,A5,Engine temp.,353.15,1
04:44.4,A5,Engine oil temp.,360.2,1
04:44.4,A5,Engine oil pressure,452000,1
04:44.4,A4,Engine Speed,1500,4
